2019-04-14 21:51:59.881 | DEBUG    | __main__:<module>:116 - Loading input file...
2019-04-14 21:51:59.883 | DEBUG    | __main__:<module>:118 - Calculating data...
2019-04-14 21:51:59.884 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.885 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.885 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.885 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.885 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.885 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.886 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.886 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.886 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.886 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.886 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.886 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.887 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.887 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.887 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.887 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.887 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.888 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.888 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.888 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.888 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.888 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.888 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.889 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.889 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.889 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.889 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.889 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
2019-04-14 21:51:59.889 | WARNING  | __main__:calculate_additional_fields:72 - Some data not decoded. Could not get square root price due to invalid total price.
